"161";"161";"0";"0.0000";"fixed"
"162";"162";"0";"0.0000";"fixed"
"163";"163";"0";"0.0000";"fixed"
"164";"164";"0";"0.0000";"fixed"
"165";"165";"0";"0.0000";"fixed"
"166";"166";"0";"0.0000";"fixed"
"167";"167";"0";"0.0000";"fixed"
"168";"168";"0";"0.0000";"fixed"
"308";"308";"0";"1.0000";"fixed"
"309";"309";"0";"2.0000";"fixed"
"2291";"2291";"0";"0.0000";"fixed"
"2292";"2292";"0";"0.0000";"fixed"
"2293";"2293";"0";"0.0000";"fixed"
"2294";"2294";"0";"0.0000";"fixed"
"2295";"2295";"0";"0.0000";"fixed"
"2296";"2296";"0";"0.0000";"fixed"
"2297";"2297";"0";"0.0000";"fixed"
"2298";"2298";"0";"0.0000";"fixed"
"2299";"2299";"0";"0.0000";"fixed"
"2300";"2300";"0";"0.0000";"fixed"
"2301";"2301";"0";"0.0000";"fixed"
"2313";"2313";"0";"0.0000";"fixed"
"2314";"2314";"0";"0.0000";"fixed"
"2315";"2315";"0";"0.0000";"fixed"
"2316";"2316";"0";"0.0000";"fixed"
"2317";"2317";"0";"0.0000";"fixed"
"2318";"2318";"0";"0.0000";"fixed"
"2319";"2319";"0";"0.0000";"fixed"
"2320";"2320";"0";"0.0000";"fixed"
"2321";"2321";"0";"0.0000";"fixed"
"2322";"2322";"0";"0.0000";"fixed"
"2323";"2323";"0";"0.0000";"fixed"
"2335";"2335";"0";"0.0000";"fixed"
"2336";"2336";"0";"0.0000";"fixed"
"2337";"2337";"0";"0.0000";"fixed"
"2338";"2338";"0";"0.0000";"fixed"
"2339";"2339";"0";"0.0000";"fixed"
"2340";"2340";"0";"0.0000";"fixed"
"2341";"2341";"0";"0.0000";"fixed"
"2342";"2342";"0";"0.0000";"fixed"
"2343";"2343";"0";"0.0000";"fixed"
"2344";"2344";"0";"0.0000";"fixed"
"2345";"2345";"0";"0.0000";"fixed"
"2357";"2357";"0";"0.0000";"fixed"
"2358";"2358";"0";"0.0000";"fixed"
"2359";"2359";"0";"0.0000";"fixed"
"2360";"2360";"0";"0.0000";"fixed"
"2361";"2361";"0";"0.0000";"fixed"
"2362";"2362";"0";"0.0000";"fixed"
"2363";"2363";"0";"0.0000";"fixed"
"2364";"2364";"0";"0.0000";"fixed"
"2365";"2365";"0";"0.0000";"fixed"
"2366";"2366";"0";"0.0000";"fixed"
"2367";"2367";"0";"0.0000";"fixed"
"2368";"2368";"0";"10.0000";"fixed"
"2369";"2369";"0";"18.0000";"fixed"
"2370";"2370";"0";"0.0000";"fixed"
"2371";"2371";"0";"0.0000";"fixed"
"2372";"2372";"0";"5.0000";"fixed"
"2373";"2373";"0";"0.0000";"fixed"
"2410";"2410";"0";"0.0000";"fixed"
"2411";"2411";"0";"0.0000";"fixed"
"2412";"2412";"0";"0.0000";"fixed"
"2413";"2413";"0";"0.0000";"fixed"
"2414";"2414";"0";"0.0000";"fixed"
"2415";"2415";"0";"0.0000";"fixed"
"2416";"2416";"0";"0.0000";"fixed"
"2417";"2417";"0";"0.0000";"fixed"
"2418";"2418";"0";"0.0000";"fixed"
"2419";"2419";"0";"0.0000";"fixed"
"2420";"2420";"0";"0.0000";"fixed"
"2421";"2421";"0";"0.0000";"fixed"
"2422";"2422";"0";"0.0000";"fixed"
"2423";"2423";"0";"0.0000";"fixed"
"2424";"2424";"0";"0.0000";"fixed"
"2425";"2425";"0";"0.0000";"fixed"
"2437";"2437";"0";"6.0000";"absolute"
"2438";"2438";"0";"12.0000";"absolute"
"2439";"2439";"0";"18.0000";"absolute"
"2440";"2440";"0";"24.0000";"absolute"
"2441";"2441";"0";"30.0000";"absolute"
"2442";"2442";"0";"0.0000";"absolute"
"2443";"2443";"0";"12.0000";"absolute"
"2444";"2444";"0";"24.0000";"absolute"
"2445";"2445";"0";"36.0000";"absolute"
"2446";"2446";"0";"48.0000";"absolute"
"2447";"2447";"0";"60.0000";"absolute"
"2448";"2448";"0";"0.0000";"absolute"
"2449";"2449";"0";"10.0000";"absolute"
"2450";"2450";"0";"20.0000";"absolute"
"2451";"2451";"0";"30.0000";"absolute"
"2452";"2452";"0";"40.0000";"absolute"
"2453";"2453";"0";"50.0000";"absolute"
"2454";"2454";"0";"0.0000";"absolute"
"2455";"2455";"0";"12.0000";"absolute"
"2456";"2456";"0";"24.0000";"absolute"
"2457";"2457";"0";"36.0000";"absolute"
"2458";"2458";"0";"48.0000";"absolute"
"2459";"2459";"0";"60.0000";"absolute"
"2460";"2460";"0";"0.0000";"absolute"
"2461";"2461";"0";"10.0000";"absolute"
"2462";"2462";"0";"20.0000";"absolute"
"2463";"2463";"0";"30.0000";"absolute"
"2464";"2464";"0";"40.0000";"absolute"
"2465";"2465";"0";"50.0000";"absolute"
"2466";"2466";"0";"0.0000";"absolute"
"2467";"2467";"0";"5.0000";"absolute"
"2468";"2468";"0";"10.0000";"absolute"
"2469";"2469";"0";"15.0000";"absolute"
"2470";"2470";"0";"20.0000";"absolute"
"2471";"2471";"0";"25.0000";"absolute"
"2472";"2472";"0";"30.0000";"absolute"
"2473";"2473";"0";"35.0000";"absolute"
"2474";"2474";"0";"40.0000";"absolute"
"2475";"2475";"0";"45.0000";"absolute"
"2476";"2476";"0";"50.0000";"absolute"
"2477";"2477";"0";"55.0000";"absolute"
"2478";"2478";"0";"0.0000";"fixed"
"2479";"2479";"0";"0.0000";"fixed"
"2491";"2491";"0";"0.0000";"fixed"
"2492";"2492";"0";"0.0000";"fixed"
"2493";"2493";"0";"0.0000";"fixed"
