"81";"4";"4";"simple";"485 | Phoenix Set";"1";"1";"2013-05-01 19:43:24";"2014-01-03 23:24:52"
"82";"4";"4";"simple";"N2340";"1";"1";"2013-05-01 20:02:46";"2013-07-26 00:00:48"
"83";"4";"4";"simple";"NW2340";"1";"1";"2013-05-01 20:21:49";"2013-12-10 16:54:17"
"84";"4";"4";"simple";"NF1264 ";"1";"1";"2013-05-01 20:33:16";"2013-07-15 19:32:34"
"85";"4";"4";"simple";"4051 | San Diego ";"1";"1";"2013-05-01 20:41:24";"2013-05-01 21:17:46"
"86";"4";"4";"simple";"4001-J";"1";"1";"2013-05-01 21:30:54";"2013-05-01 21:42:20"
"87";"4";"4";"simple";"4000 | Pro Style";"1";"1";"2013-05-01 21:49:50";"2013-05-01 21:55:14"
"88";"4";"4";"simple";"4052-J | Miami Jersey ";"1";"1";"2013-05-01 22:03:21";"2014-06-12 23:54:06"
"89";"4";"4";"simple";"4003-J";"1";"1";"2013-05-01 22:18:25";"2013-05-01 22:26:55"
"90";"4";"4";"simple";"4004 | Gladiator";"1";"1";"2013-05-01 22:36:46";"2013-05-01 22:46:26"
"91";"4";"4";"simple";"4002-J | Philadelphia Jersey";"1";"1";"2013-05-01 22:52:32";"2013-05-01 22:58:39"
"92";"4";"4";"simple";"AG214";"1";"1";"2013-05-02 16:16:52";"2013-07-22 23:06:24"
"93";"4";"4";"simple";"195 | Grinta Jersey ";"1";"1";"2013-05-02 16:29:12";"2013-12-24 00:11:41"
"94";"4";"4";"simple";"SA60096";"1";"1";"2013-05-02 16:40:40";"2013-07-22 23:35:42"
"95";"4";"4";"simple";"198 | Toque Jersey ";"1";"1";"2013-05-02 17:51:15";"2016-09-06 19:36:32"
"96";"4";"4";"simple";"SA60093";"1";"1";"2013-05-02 18:37:20";"2013-08-06 21:27:49"
"97";"4";"4";"simple";"SA60108";"1";"1";"2013-05-02 18:56:02";"2013-05-03 18:57:06"
"98";"4";"4";"simple";"200 | Tabela Jersey ";"1";"1";"2013-05-02 20:01:58";"2013-05-15 00:04:04"
"99";"4";"4";"simple";"A-45";"1";"1";"2013-05-02 20:08:06";"2013-05-02 20:09:52"
"100";"4";"4";"simple";"A-42 | Sweatshirt";"1";"1";"2013-05-02 20:25:01";"2015-11-06 20:31:01"
"101";"4";"4";"simple";"828 | Everton Short - 5"" Inseam";"1";"1";"2013-05-02 20:37:32";"2016-04-28 21:35:38"
"102";"4";"4";"simple";"833 | Serbia";"1";"1";"2013-05-02 20:54:37";"2013-12-24 21:24:59"
"104";"4";"4";"simple";"2025-J | Norco Jersey";"1";"1";"2013-05-02 21:14:06";"2013-12-30 23:54:58"
"105";"4";"4";"simple";"2015 | Vermont Set ";"1";"1";"2013-05-02 21:35:02";"2013-12-30 23:50:50"
"106";"4";"4";"simple";"193 | Viva Jersey";"1";"1";"2013-05-02 21:45:49";"2013-12-30 23:46:49"
"107";"4";"4";"simple";"197 | Stricon Jersey ";"1";"1";"2013-05-02 22:04:10";"2013-12-30 23:42:41"
"108";"4";"4";"simple";"2016 | Dive Set ";"1";"1";"2013-05-02 22:12:39";"2013-07-24 19:27:04"
"109";"4";"4";"simple";"1027 | Ukraine Jersey";"1";"1";"2013-05-02 22:37:09";"2013-07-24 21:38:55"
"110";"4";"4";"simple";"1026 | Imperial Set";"1";"1";"2013-05-02 22:57:14";"2013-06-28 17:00:06"
"111";"4";"4";"simple";"2032 | Imperial Set";"1";"1";"2013-05-03 16:34:39";"2013-12-30 23:36:21"
"112";"4";"4";"simple";"289 | MADRID";"1";"1";"2013-05-03 16:47:00";"2013-12-30 23:31:32"
"113";"4";"4";"simple";"HF72310 | EVOLUTION  ";"1";"1";"2013-05-03 16:52:18";"2014-01-03 23:46:35"
"114";"4";"4";"simple";"AG1301 | MVP JERSEY";"1";"1";"2013-05-06 16:49:55";"2015-02-13 00:53:23"
"115";"4";"4";"simple";"2020 | Slider ";"1";"1";"2013-05-06 16:57:08";"2016-08-09 18:57:01"
"116";"4";"4";"simple";"AG1331 |  ASSIST JERSEY";"1";"1";"2013-05-06 17:02:30";"2015-02-13 00:53:49"
"117";"4";"4";"simple";"HF42142 | RAPTOR JERSEY ";"1";"1";"2013-05-06 17:05:36";"2014-01-03 23:45:51"
"122";"4";"4";"simple";"bk-487-000001";"1";"1";"2013-05-17 21:47:58";"2016-01-04 20:22:21"
"123";"4";"4";"simple";"1201-V | Twill";"1";"0";"2013-05-20 16:51:02";"2013-05-20 18:36:33"
"124";"4";"4";"simple";"607 |""2-in-1"" Socks";"1";"1";"2013-05-20 19:26:46";"2015-09-18 17:34:01"
"125";"4";"4";"simple";"N5296";"1";"1";"2013-05-20 20:56:09";"2013-05-20 21:21:08"
"126";"4";"4";"simple";"455  | Titan Set";"1";"1";"2013-05-22 19:01:49";"2014-01-09 19:46:48"
"129";"4";"4";"simple";"476  | Genesis Set";"1";"1";"2013-05-28 18:59:42";"2015-10-21 22:27:39"
"130";"4";"4";"simple";"453 | Victory Set";"1";"1";"2013-05-28 19:37:59";"2016-01-18 23:47:00"
"132";"4";"4";"simple";"484 | Bengal Set";"1";"1";"2013-05-28 21:51:00";"2013-12-19 20:39:16"
"133";"4";"4";"simple";"462 | Expedition Set ";"1";"1";"2013-05-28 22:00:33";"2014-01-09 19:29:30"
"134";"4";"4";"simple";"491-J | Radian Jersey";"1";"1";"2013-05-28 22:41:58";"2014-06-05 18:17:29"
"135";"4";"4";"simple";"488  | Combat Set";"1";"1";"2013-05-28 22:49:41";"2016-01-04 20:18:31"
"139";"4";"4";"simple";"1061 | Crusade Jersey ";"1";"1";"2013-05-29 23:53:20";"2015-08-20 18:17:38"
"140";"4";"4";"simple";"AG214 | STRIKER";"1";"1";"2013-05-31 16:38:21";"2013-08-06 21:22:48"
"141";"4";"4";"simple";"195 | Grinta";"0";"0";"2013-05-31 16:39:44";"2013-05-31 16:40:40"
"143";"4";"4";"simple";"SA-60096 | MERCA ";"1";"1";"2013-05-31 16:46:28";"2013-08-06 19:45:08"
"144";"4";"4";"simple";"198 | Toque";"0";"0";"2013-05-31 16:49:31";"2013-05-31 16:49:31"
"146";"4";"4";"simple";"Soccer-185 | Boston";"1";"1";"2013-05-31 16:52:36";"2015-10-28 18:42:34"
"147";"4";"4";"simple";"VZ10096 | VELEZ ";"0";"0";"2013-05-31 16:54:39";"2013-05-31 16:54:39"
"148";"4";"4";"simple";"HF22820 | KINETIC ";"0";"0";"2013-05-31 16:56:33";"2013-05-31 16:56:33"
"149";"4";"4";"simple";"Soccer-186 | Finland";"1";"1";"2013-05-31 16:58:07";"2016-05-04 16:44:20"
"150";"4";"4";"simple";"Soccer-196 | Estro";"1";"1";"2013-05-31 17:00:58";"2016-04-01 16:23:35"
"151";"4";"4";"simple";"SA60108 | CARACAS ";"1";"1";"2013-05-31 17:07:33";"2013-08-08 16:37:27"
"152";"4";"4";"simple";"200 | Tabela ";"1";"1";"2013-05-31 17:14:19";"2015-08-26 19:32:09"
"153";"4";"4";"simple";"Soccer-193 | Viva ";"1";"1";"2013-05-31 17:17:22";"2015-08-26 19:25:26"
"154";"4";"4";"simple";"240 | Chicago";"1";"1";"2013-05-31 17:20:20";"2016-06-06 20:33:10"
"155";"4";"4";"simple";"HF22740 | HELIX ";"1";"1";"2013-05-31 17:23:48";"2013-12-23 23:40:35"
"156";"4";"4";"simple";"AG1050 | PREMIER ";"1";"1";"2013-05-31 17:32:35";"2013-08-06 19:27:58"
"157";"4";"4";"simple";"HF22810 | INFERNO ";"1";"1";"2013-05-31 17:35:16";"2014-01-03 23:42:24"
"158";"4";"4";"simple";"197 | Stricon";"1";"1";"2013-05-31 17:39:25";"2013-12-23 23:27:14"
"159";"4";"4";"simple";"AG1030|ALL-CONFERENCE";"1";"1";"2013-05-31 17:42:02";"2013-12-23 23:28:08"
"160";"4";"4";"simple";"HF22710 | TEMPEST ";"1";"1";"2013-05-31 17:45:25";"2014-01-03 23:41:19"
"161";"4";"4";"simple";"AG1510 | SURGE ";"0";"0";"2013-05-31 17:48:29";"2013-12-23 23:31:39"
"162";"4";"4";"simple";"179 | Bristol";"1";"1";"2013-05-31 17:50:57";"2013-12-23 23:33:23"
"163";"4";"4";"simple";"VZ10063 | MONACO ";"1";"1";"2013-05-31 17:53:28";"2013-12-23 23:35:07"
"164";"4";"4";"simple";"HF22660 | FLASH ";"1";"1";"2013-05-31 17:56:53";"2014-01-03 23:40:24"
"165";"4";"4";"simple";"190 | Poland";"1";"1";"2013-05-31 18:00:55";"2016-04-01 22:24:14"
"166";"4";"4";"simple";"169 | Iceland";"1";"1";"2013-05-31 18:02:59";"2013-12-24 00:08:05"
"172";"4";"4";"simple";"AG243 | WICKING ";"1";"1";"2013-06-04 15:55:34";"2013-08-06 21:06:27"
"173";"4";"4";"simple";"487 | Verano Set ";"0";"0";"2013-06-04 16:19:59";"2013-06-06 17:47:52"
"174";"4";"4";"simple";"AG722 | Duo Knit Game Set";"1";"1";"2013-06-04 16:35:16";"2013-12-19 17:30:58"
"175";"4";"4";"simple";"HF32360 | Varsity Performance Set 	";"1";"1";"2013-06-04 16:44:23";"2014-01-09 21:38:36"
"176";"4";"4";"simple";"HF32330 | Fusion Set";"1";"1";"2013-06-04 16:50:13";"2014-01-03 23:31:55"
"177";"4";"4";"simple";"449 | Arena Set ";"1";"1";"2013-06-04 18:05:52";"2016-11-21 22:34:54"
"178";"4";"4";"simple";"456 | Precision Set ";"1";"1";"2013-06-04 18:11:00";"2016-01-18 23:39:05"
"179";"4";"4";"simple";"HF32340 | Glide Game Set";"1";"1";"2013-06-04 18:21:31";"2013-07-30 16:49:05"
"180";"4";"4";"simple";"469-J | Energy Jersey ";"1";"1";"2013-06-04 18:32:19";"2014-01-03 23:31:26"
"181";"4";"4";"simple";"474 | Caliber Set ";"1";"1";"2013-06-04 18:41:43";"2014-01-09 18:19:42"
"182";"4";"4";"simple";"468 | Dominator Set ";"1";"1";"2013-06-04 19:17:31";"2014-08-28 19:20:08"
"183";"4";"4";"simple";"484 |  Bengal Set ";"1";"1";"2013-06-04 19:22:06";"2014-01-09 19:40:34"
"185";"4";"4";"simple";"482 | Comet Set (Ladies)";"1";"1";"2013-06-04 19:30:37";"2016-02-03 21:58:53"
"186";"4";"4";"simple";"475 | Stance Set (Ladies)";"1";"1";"2013-06-04 19:37:22";"2016-10-07 14:57:17"
"187";"4";"4";"simple";"473 | Challenger Set";"1";"1";"2013-06-04 19:49:13";"2016-02-05 19:19:29"
"188";"4";"4";"simple";"446-J | Continental Jersey ";"1";"1";"2013-06-05 22:00:31";"2014-01-09 19:59:49"
"189";"4";"4";"simple";"465 |  All-Star Set";"1";"1";"2013-06-05 22:12:47";"2014-01-09 17:26:47"
"190";"4";"4";"simple";"458 | Sharpshooter Set ";"1";"1";"2013-06-05 22:17:31";"2014-01-09 19:31:49"
"191";"4";"4";"simple";"435 | Guard Set";"1";"1";"2013-06-05 22:26:05";"2014-01-09 00:32:06"
"192";"4";"4";"simple";"467 | Rival Set (Ladies)";"1";"1";"2013-06-05 22:31:04";"2014-08-13 19:32:01"
"193";"4";"4";"simple";"445 | Superior Set ";"1";"1";"2013-06-05 22:35:17";"2013-12-19 00:00:41"
"194";"4";"4";"simple";"466 | Synergy Set (Ladies)";"1";"1";"2013-06-05 22:40:05";"2016-01-18 23:47:57"
"195";"4";"4";"simple";"477 | Evasion Set (Ladies)";"1";"1";"2013-06-05 22:49:50";"2014-01-08 19:50:56"
"196";"4";"4";"simple";"470 | Reflex Set (Ladies)";"1";"1";"2013-06-05 22:54:47";"2014-01-08 19:50:21"
"197";"4";"4";"simple";"711 | Vault Warm Up Set";"1";"1";"2013-06-05 23:02:41";"2014-01-08 20:34:43"
"198";"4";"4";"simple";"709 | Turbo Warm Up Set";"1";"1";"2013-06-05 23:06:38";"2014-01-08 21:12:31"
"199";"4";"4";"simple";"478 | Revenge Set ";"1";"1";"2013-06-06 18:56:48";"2014-10-02 17:51:24"
"200";"4";"4";"simple";"HF32320 | League Set";"1";"1";"2013-06-06 19:04:07";"2014-01-08 23:16:24"
"201";"4";"4";"simple";"BBJ6 | Lay-Up";"1";"1";"2013-06-06 19:11:49";"2014-01-08 23:22:19"
"202";"4";"4";"simple";"HF32370 | Transition Game Set ";"1";"1";"2013-06-06 19:28:58";"2014-07-08 17:17:55"
"203";"4";"4";"simple";"BB7 | Dream Set";"1";"1";"2013-06-06 19:34:44";"2016-09-23 18:33:07"
"204";"4";"4";"simple";"HF12022 | Flex Jersey ";"1";"1";"2013-06-12 16:31:10";"2013-12-26 19:46:24"
"205";"4";"4";"simple";"HF12142 | Faux Jersey ";"1";"1";"2013-06-12 16:35:11";"2016-01-13 23:51:18"
"207";"4";"4";"simple";"1059 | Reliant Jersey";"1";"1";"2013-06-12 16:52:26";"2016-01-13 23:52:14"
"208";"4";"4";"simple";"1063 | Matrix Jersey ";"1";"1";"2013-06-12 17:09:24";"2016-01-22 22:58:08"
"209";"4";"4";"simple";"HF12152 | Fever Jersey ";"1";"1";"2013-06-12 17:13:52";"2016-01-13 23:50:36"
"211";"4";"4";"simple";"1053 | Spectrum Jersey ";"1";"1";"2013-06-12 17:21:30";"2015-08-20 18:13:03"
"212";"4";"4";"simple";"1057 | Aruba Jersey ";"1";"1";"2013-06-12 17:29:12";"2016-01-13 23:49:44"
"213";"4";"4";"simple";"1054 | Tiger Jersey ";"1";"1";"2013-06-12 17:39:01";"2015-08-20 18:13:27"
"214";"4";"4";"simple";"1055 | Camo Jersey ";"1";"1";"2013-06-12 18:03:29";"2015-08-20 18:19:28"
"215";"4";"4";"simple";"1060 | Valido Jersey ";"1";"1";"2013-06-12 18:09:05";"2016-10-14 14:48:56"
"216";"4";"4";"simple";"1056-J | Glints Jersey";"1";"1";"2013-06-12 18:21:32";"2016-01-13 23:48:57"
"217";"4";"4";"simple";"1014-J | Slider Jersey ";"1";"1";"2013-06-12 18:26:21";"2015-08-21 16:54:33"
"218";"4";"4";"simple";"HF12102 | Spirit Jersey ";"1";"1";"2013-06-12 18:30:24";"2013-12-26 19:17:55"
"219";"4";"4";"simple";"1058-J | Caliber Jersey";"1";"1";"2013-06-12 18:33:47";"2013-12-26 18:03:25"
"220";"4";"4";"simple";"BST7 | Sweet Jersey ";"1";"1";"2013-06-12 18:37:26";"2013-08-09 19:49:47"
"221";"4";"4";"simple";"478 | Revenge  Set ";"1";"1";"2013-06-13 19:43:54";"2013-06-14 16:52:13"
